ageRange,noUse,yesUse,notMore,highEd
<20,213,54,NO,YES
<20,200,54,NO,YES
<20,52,13,NO,NO
<20,45,6,YES,YES
<20,21,4,YES,NO
<20,15,6,YES,NO
20-29,165,52,NO,YES
20-29,152,53,NO,YES
20-29,66,29,YES,YES
20-29,60,12,NO,NO
20-29,17,11,YES,NO
20-29,14,11,YES,NO
30-39,117,49,NO,YES
30-39,116,35,NO,NO
30-39,78,83,YES,NO
30-39,74,74,YES,YES
30-39,68,82,YES,NO
40-49,45,46,YES,NO
40-49,38,47,YES,NO
40-49,37,4,NO,NO
40-49,7,29,YES,YES
40-49,5,6,NO,YES
40-49,5,5,NO,YES
40-49,4,10,NO,YES
